HUC12,ID,X1992,X1993,X1994,X1995,X1996,X1997,X1998,X1999,X2000,X2001,X2002,X2003,X2004,X2005,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015
20401060306,421,19610.7599,36284.83544,50707.07458,35832.14881,52773.19852,30516.60412,20168.95617,38761.72206,47706.73472,39632.32407,39444.54733,50056.79088,52378.39741,58392.95281,27011.43507,60279.47355,58677.85227,48303.37919,55025.72925,52481.98685,29372.18072,57115.02876,64047.98065,74455.7093
20401060307,422,10948.61507,20257.69032,28309.57357,20004.95685,29463.08236,16872.09292,11151.06063,21430.67318,26376.21322,21912.01379,21808.19531,27675.51786,28959.09311,32284.43489,14934.14667,33155.47032,32274.53184,26568.26875,30265.75769,28866.62522,16155.55683,31414.93307,35228.25881,40952.81375
20401060308,423,17155.08628,31741.22192,44357.49795,31345.22128,46164.89986,26827.69906,17730.89448,34076.13116,41939.85378,34841.49357,34676.41516,44005.83134,46046.79707,51334.30139,23746.24143,52963.05047,51555.82609,42440.55491,48346.98001,46111.98422,25807.13152,50182.68998,56274.15444,65418.64526
20401060309,424,9097.684344,16833.0029,23523.66596,16622.99561,24482.16701,14385.63537,9507.717349,18272.41285,22489.12358,18682.81828,18594.29906,23596.9483,24691.36214,27526.64439,12733.28625,29100.89621,28327.68727,23319.24163,26564.56594,25336.53257,14179.89782,27573.20874,30920.20363,35944.70448
20401060310,425,10046.31568,18588.20943,25976.51943,18356.30451,27034.96524,15390.08986,10171.57893,19548.25581,24059.39177,19987.31653,19892.61728,25244.56887,26415.398,29448.64995,13622.36813,31045.7965,30220.91199,24877.73691,28339.95557,27029.84955,15127.58309,29416.00926,32986.69407,38346.99693
20401060401,426,12424.96955,22989.31706,32126.94844,22702.50406,33436.00081,19442.56271,12849.92881,24695.6442,30394.6391,25250.31758,25130.68193,31891.89332,33371.02223,37202.98056,17209.36958,40160.50132,39093.43925,32181.56665,36660.25512,34965.51586,19568.87515,38052.22592,42671.22435,49605.25387
20401060402,427,18158.00831,33596.87967,46950.73032,33177.72813,48863.79624,37294.81353,24648.79282,47371.29939,58303.13759,48435.27606,48205.79049,61175.1776,64012.45041,71362.92995,33011.09211,80190.79336,78060.12942,64258.79408,73201.64925,69817.66639,39074.3039,75981.07861,85204.1001,99049.67619
20401060403,428,19096.71681,35333.72635,49377.92552,34892.90558,51389.89139,37225.81575,24603.19101,47283.65922,58195.27322,48345.66781,48116.60649,61061.99967,63894.02327,71230.90402,32950.01967,79429.79265,77319.34815,63648.98576,72506.97457,69155.10496,38703.49351,75260.02727,84395.52307,98109.70731
20401060404,429,8488.967343,15706.7235,21949.72073,15510.76773,22844.08934,16865.84696,11146.93239,21422.73908,26366.44847,21903.90182,21800.12173,27665.27224,28948.37223,32272.48304,14928.61792,34113.46383,33207.07128,27335.93157,31140.25556,29700.69667,16622.355,32322.63528,36246.14381,42136.10342
20401060501,430,10553.09236,19525.8736,27286.87977,19282.2705,28398.71792,18512.72047,12235.37996,23514.57323,28941.01303,24042.71892,23928.80497,30366.66094,31775.05047,35423.74509,16386.33007,39032.06526,37994.9861,31277.32438,35630.16961,33983.04978,19019.026,36983.02894,41472.24219,48211.43771
20401060502,431,10012.50053,18525.64283,25889.08418,18294.51853,26943.96747,18517.11222,12238.28256,23520.15154,28947.87878,24048.42259,23934.4816,30373.86484,31782.5886,35432.14883,16390.21733,39328.70692,38283.74606,31515.03051,35900.95686,34241.31926,19163.56956,37264.09809,41787.42892,48577.84189
20401060601,432,8937.239539,16536.1398,23108.80763,16329.8363,24050.40491,14378.9849,9503.32198,18263.96564,22478.72735,18674.18099,18585.70318,23586.03976,24679.94754,27513.91947,12727.39972,29592.24375,28805.97983,23712.97024,27013.08918,25764.32176,14419.31513,28038.76234,31442.26917,36551.60476
20401060602,433,10733.00317,19858.75412,27752.07093,19610.99786,28882.86396,17536.84504,11590.40687,22275.03124,27415.42312,22775.33632,22667.42745,28765.91969,30100.06733,33556.4259,15522.54469,37098.42801,36112.72575,29727.85508,33865.06122,32299.53956,18076.82899,35150.90066,39417.71951,45823.05682
20401060701,434,24201.58342,44779.01293,62577.4577,44220.35346,65127.25501,39568.26056,26151.35365,50258.99675,61857.22731,51387.83248,51144.35773,64904.34312,67914.57252,75713.12897,35023.4086,81683.46335,79513.13982,65454.90679,74564.22389,71117.25146,39801.63244,77395.39006,86790.08751,100893.386
20401060702,435,13194.16545,24412.5228,34115.83975,24107.95437,35505.93222,24964.51718,16499.48487,31709.54649,39027.134,32421.75433,32268.14054,40949.62908,42848.8511,47769.13844,22097.06665,56811.69185,55302.20969,45524.56313,51860.18747,49462.78242,27682.44642,53829.29246,60363.40201,70172.39134
20401060703,436,11058.01316,20460.10394,28592.4412,20204.84555,29757.47615,22885.92093,15125.70442,29069.34512,35777.65567,29722.2531,29581.42967,37540.07983,39281.16869,43791.78271,20257.22003,51085.11713,49727.78921,40935.72209,46632.72047,44476.97205,24892.07702,48403.34107,54278.81782,63099.06823
20401060801,437,38239.15839,70752.05465,98874.08077,69869.3583,102902.8291,60758.49204,40156.34726,77174.50315,94984.00438,78907.87103,78534.00603,99662.96156,104285.276,116260.2405,53779.70767,121343.7469,118119.6517,97235.63653,110767.8578,105647.2553,59126.76795,114973.658,128929.8218,149880.7837
20401060802,438,7629.973494,14117.36914,19728.64086,13941.24197,20532.50915,11704.30634,7735.58027,14866.63022,18297.39109,15200.53991,15128.52028,19198.72913,20089.15564,22395.97193,10359.93748,24214.38577,23571.01148,19403.56475,22103.9463,21082.1201,11798.86411,22943.22197,25728.20247,29909.00815
20401060803,439,10702.65266,19802.5978,27673.59397,19555.54221,28801.18929,17800.56399,11764.70348,22610.00322,27827.69618,23117.83183,23008.30022,29198.50172,30552.71228,34061.04732,15755.97265,35395.48119,34455.02596,28363.243,32310.53739,30816.87828,17247.03979,33537.35198,37608.30899,43719.6194
20401060804,440,9177.419788,16980.53356,23729.83601,16768.68577,24696.73807,14541.03348,9610.422691,18469.79741,22732.05844,18884.63575,18795.16064,23851.85011,24958.08645,27823.99631,12870.83522,33722.52434,32826.51964,27022.66303,30783.38934,29360.3279,16431.86355,31952.21926,35830.76358,41653.22442
20503050601,441,16119.62066,29825.35027,41680.11919,29453.25174,43378.42821,26846.43586,17743.27784,34099.93053,41969.14509,34865.82722,34700.63362,44036.56523,46078.9571,51370.15389,23762.82608,55507.47114,54032.64188,44479.46007,50669.63786,48327.27001,27046.943,52593.53842,58977.64499,68561.4501
20503050602,442,7654.680806,14163.08384,19792.52597,13986.38637,20598.99723,11730.08548,7752.61819,14899.37445,18337.6916,15234.01955,15161.84137,19241.01509,20133.40259,22445.29973,10382.75557,23504.95775,22880.43276,18835.08305,21456.34932,20464.46038,11453.18338,22271.03611,24974.42309,29032.74014
20503050603,443,10122.86948,18729.8531,26174.46295,18496.18101,27240.97393,15626.47159,10327.80756,19848.50386,24428.92806,20294.30869,20198.1546,25632.3083,26821.1211,29900.96138,13831.59855,31007.96455,30184.08485,24847.42091,28305.42062,26996.91095,15109.1487,29380.16291,32946.49648,38300.26773
20503050702,444,8063.655472,14919.78981,20850.00223,14733.65166,21699.56159,12395.22835,8192.222654,15744.2285,19377.51214,16097.84955,16021.57837,20332.05747,21275.04706,23718.03806,10971.49937,25611.42213,24930.92853,20523.04315,23379.22187,22298.44183,12479.59334,24266.91904,27212.57761,31634.59274
20503050703,445,10535.80336,19493.88502,27242.17607,19250.68083,28352.19291,16177.07865,10691.71362,20547.87693,25289.69455,21009.38942,20909.84765,26535.47699,27766.17764,30954.53829,14318.96249,31759.576,30915.72652,25449.70554,28991.52464,27651.29781,15475.38414,30092.31813,33745.09704,39228.63952
20503050802,446,10354.64767,19158.70111,26773.76605,18919.67873,27864.69653,16853.57587,11138.82233,21407.15326,26347.2656,21887.96559,21784.26094,27645.14448,28927.31128,32249.00335,14917.75654,37213.04938,36224.3014,29819.70367,33969.6925,32399.33383,18132.68009,35259.50461,39539.50675,45964.6344
20401060805,447,18040.58316,33379.61361,46647.10628,32963.17256,48547.80127,28776.02035,19018.57378,36550.85876,44985.67258,37371.80435,37194.73741,47201.68798,49390.87704,55062.37803,25470.77626,62045.28283,60396.74437,49718.36432,56637.63724,54019.37921,30232.60076,58788.13952,65924.18242,76636.79344
20401060806,448,9148.579381,16927.17134,23655.26348,16715.98936,24619.12717,14834.24743,9804.212782,18842.23299,23190.44086,19265.43647,19174.15716,24332.8128,25461.35571,28385.05564,13130.3702,32363.39571,31503.50266,25933.56056,29542.71736,28177.00997,15769.60526,30664.43945,34386.66627,39974.46277
20401060807,449,10344.89205,19140.65054,26748.54095,18901.8535,27838.44381,17319.63581,11446.84943,21999.13533,27075.85884,22493.24377,22386.67125,28409.62846,29727.25159,33140.79996,15330.28426,36932.80521,35951.50332,29595.13733,33713.87357,32155.34093,17996.12647,34993.97227,39241.74247,45618.48401
20401060808,450,15959.401,29528.90321,41265.84259,29160.50301,42947.27112,29244.28607,19328.05876,37145.64273,45717.71438,37979.94722,37799.99917,47969.79012,50194.60378,55958.39533,25885.25666,65063.05643,63334.33546,52136.57787,59392.39193,56646.78651,31703.06138,61647.49099,69130.61873,80364.27111
20401060809,451,11985.4927,22176.17415,30990.60286,21899.50593,32253.35415,19453.44762,12857.123,24709.47056,30411.65615,25264.45423,25144.75172,31909.74877,33389.70564,37223.80934,17219.00443,40673.4754,39592.78453,32592.62585,37128.52051,35412.13469,19818.83074,38538.27172,43216.26888,50238.86706
20401060810,452,9992.24692,18488.16846,25836.71481,18257.51167,26889.46403,17252.69707,11402.60844,21914.11091,26971.21343,22406.30976,22300.14893,28299.82798,29612.35905,33012.7141,15271.03423,43207.14688,42059.13654,34622.91723,39441.36623,37618.06172,21053.40447,40938.93495,45908.33844,53368.39488
20401060811,453,23110.95374,42761.07327,59757.44233,42227.59004,62192.33404,37866.06731,25026.34439,48096.89725,59196.18123,49177.17108,48944.17047,62112.21302,64992.94463,72456.01314,33516.73099,80472.0929,78333.95546,64484.20643,73458.43195,70062.57847,39211.37176,76247.61139,85502.98484,99397.13076
20401060812,454,15221.27888,28163.19182,39357.29814,27811.83024,40960.96054,25782.50137,17040.10475,32748.53705,40305.89206,33484.08106,33325.43408,42291.37905,44252.83059,49334.33515,22821.09615,55215.58706,53748.51325,44245.56654,50403.19348,48073.14294,26904.71755,52316.97729,58667.51307,68200.92231
20401060813,455,36270.30853,67109.18725,93783.2723,66271.93824,97604.58908,59131.93294,39081.32628,75108.47316,92441.19706,76795.43571,76431.58104,96994.89468,101493.4667,113147.8503,52339.97645,122776.1643,119514.0103,98383.46703,112075.4324,106894.3825,59824.73782,116330.881,130451.7905,151650.0716
20402010201,456,32967.34166,60997.86824,85242.86909,60236.86421,88716.19763,52910.50472,34969.47557,67206.11011,82715.21275,68715.58401,68390.01037,86789.80339,90815.06828,101243.2634,46833.14842,107426.4377,104572.1255,86083.36552,98063.53264,93530.22846,52345.32702,101786.9558,114142.4413,132690.4694
20402010202,457,11513.01224,21301.96656,29768.92149,21036.20503,30981.89352,23469.67937,15511.52051,29810.8262,36690.24784,30480.38814,30335.97253,38497.62662,40283.12591,44908.79357,20773.92733,48646.98297,47354.43622,38981.98721,44407.08521,42354.22411,23704.05541,46093.19983,51688.25859,60087.54564
20402010203,458,21265.60498,39346.71457,54985.96798,38855.82835,57226.44036,34058.07004,22509.57252,43260.03707,53243.123,44231.67367,44022.10443,55865.90438,58456.93483,65169.4812,30146.12447,71456.24314,69557.65646,57259.59155,65228.37192,62212.97944,34818.24885,67705.06035,75923.48988,88260.97697
20402010204,459,12693.53396,23486.22832,32821.36853,23193.21635,34158.71618,23374.4042,15448.55148,29689.80915,36541.30364,30356.65289,30212.82374,38341.34542,40119.59671,44726.4861,20689.59562,50789.74654,49440.26707,40699.03519,46363.09309,44219.80964,24748.15284,48123.47671,53964.98069,62734.23412
20402010301,460,15403.39903,28500.15993,39828.20184,28144.59435,41451.05205,31737.8824,20976.12009,40312.97067,49615.96433,41218.41483,41023.12237,52060.06961,54474.58831,60729.84583,28092.43598,68371.81665,66555.1826,54787.96674,62412.77283,59527.54054,33315.31031,64782.55446,72646.23401,84451.1705
20402010302,461,11769.55291,21776.63132,30432.25254,21504.94775,31672.25298,21913.67226,14483.12832,27834.4099,34257.73552,28459.58082,28324.7399,35945.28758,37612.41084,41931.40317,19396.64499,49245.10404,47936.66573,39461.27639,44953.07645,42874.97533,23995.50005,46659.92224,52323.77193,60826.32911
20402010303,462,17652.74881,32662.02254,45644.29219,32254.53389,47504.12613,28170.50068,18618.3753,35781.73709,44039.06125,36585.40774,36412.0667,46208.44583,48351.56831,53903.7265,24934.80722,55524.01611,54048.74734,44492.71828,50684.74045,48341.67502,27055.00464,52609.21487,58995.22377,68581.88663
20402010403,463,21678.739,40111.11634,56054.19919,39610.69336,58338.19769,35761.13505,23635.15792,45423.2447,55905.53154,46443.46699,46223.41862,58659.46435,61380.05894,68428.26428,31653.57361,73416.13522,71465.47407,58830.09973,67017.4462,63919.3487,35773.23873,69562.06516,78005.90813,90681.78691
20402010405,464,27181.60547,50185.96413,70347.1804,49200.84825,72436.65303,42955.31466,27914.10322,53488.63383,66077.07448,54700.15745,54381.62087,69427.90355,72297.57121,80606.44091,37441.25638,84458.48746,82113.28998,67748.35896,77124.30196,73551.1578,41063.86825,80123.62942,90052.4777,107458.3772
